Isolate ID,Name,Accession,Originating Lab,Submitting Lab
EPI_ISL_506002,A/ruddy_turnstone/South_Carolina/UGAI18-1224/2018,EPI1790142,,
EPI_ISL_14874741,A/canine/Singapore/SG_NParks_CIV_M10305/2018,EPI2162120,,
EPI_ISL_506013,A/northern_shoveler/North-Kazakhstan/20/2018,EPI1790215,,
EPI_ISL_506011,A/greylag_goose/North-Kazakhstan/62/2019,EPI1790211,,
EPI_ISL_506008,A/ruddy_turnstone/South_Carolina/UGAI18-895/2018,EPI1790190,,
EPI_ISL_129191,A/swine/Indiana/A01104016/2012,EPI395711,,
EPI_ISL_129192,A/mink/Wisconsin/31512-7/2012,EPI395843,,
EPI_ISL_63658,A/northern_pintail/Interior_Alaska/1/2007,EPI222760,,
EPI_ISL_30894,A/equine/Newmarket/5/2003,EPI182583,,
EPI_ISL_309424,A/laughing_gull/New_Jersey/UGAI17-2420/2017,EPI1227176,,
EPI_ISL_309427,A/laughing_gull/New_Jersey/UGAI17-2848/2017,EPI1227179,,
EPI_ISL_506063,A/mallard/South_Korea/N06-1355/2006,EPI1790681,,
EPI_ISL_14874671,A/canine/Singapore/SG_NParks_CIV_M4705/2018,EPI2162112,,
EPI_ISL_506071,A/mallard/South_Korea/N07-189/2007,EPI1790689,,
EPI_ISL_506070,A/mallard/South_Korea/N07-0189/2007,EPI1790688,,
EPI_ISL_506076,A/mallard/South_Korea/N07-0347/2007,EPI1790694,,
EPI_ISL_162014,A/swine/Indiana/A00968344/2011,EPI530357,,
EPI_ISL_162022,A/swine/North_Carolina/A01410527/2014,EPI530263,,
EPI_ISL_506081,A/mallard/South_Korea/N07-0397/2007,EPI1790699,,
EPI_ISL_506094,A/mallard/South_Korea/N07-1622/2007,EPI1790712,,
EPI_ISL_162025,A/swine/North_Carolina/A01475217/2014,EPI530272,,
EPI_ISL_14571,A/seal/MA/3911/1992,EPI129225,,
EPI_ISL_14572,A/seal/MA/3984/1992,EPI129227,,
EPI_ISL_162028,A/swine/Missouri/A01411681/2014,EPI530281,,
EPI_ISL_63726,A/Pacific_golden_plover/Alaska/44201-109/2006,EPI222995,,
EPI_ISL_162029,A/swine/Illinois/A01475190/2014,EPI530284,,
EPI_ISL_162034,A/swine/Illinois/A01410453/2014,EPI530299,,
EPI_ISL_162037,A/swine/North_Carolina/A01410529/2014,EPI530309,,
EPI_ISL_162041,A/swine/Illinois/A01410373/2014,EPI530321,,
EPI_ISL_162047,A/swine/Iowa/A01480817/2014,EPI530344,,
EPI_ISL_162044,A/swine/Illinois/A01493469/2014,EPI530335,,
EPI_ISL_162045,A/swine/Nebraska/A01493501/2014,EPI530338,,
EPI_ISL_17086466,A/swine/Iowa/A02751425/2022,EPI2439416,,
EPI_ISL_6781281,A/swine/Spain/46314-2/2020,EPI1930630,,
EPI_ISL_129291,A/swine/Indiana/A01104029/2012,EPI395725,,
EPI_ISL_129290,A/swine/Indiana/A01104023/2012,EPI395718,,
EPI_ISL_129293,A/swine/Indiana/A00968386/2012,EPI395740,,
EPI_ISL_129292,A/swine/Indiana/A01104030/2012,EPI395732,,
EPI_ISL_14606,A/equine/Argentina/1/93,EPI129317,,
EPI_ISL_14607,A/equine/Kentucky/1/90,EPI129321,,
EPI_ISL_14608,A/equine/Florida/1/93,EPI129323,,
EPI_ISL_145689,A/swine/Minnesota/A01432932/2013,EPI467460,,
EPI_ISL_18921475,A/swine/Minnesota/USDA-A02978740/2024,EPI3058359,United_States_Department_of_Agriculture,
EPI_ISL_506158,A/pheasant/South_Korea/N13-010/2013,EPI1790776,,
EPI_ISL_506157,A/mallard/South_Korea/N13-011/2013,EPI1790775,,
EPI_ISL_506155,A/mallard/South_Korea/N12-036/2012,EPI1790773,,
EPI_ISL_506153,A/mallard/South_Korea/N12-032/2012,EPI1790771,,
EPI_ISL_145709,A/Anas_discors/New_Mexico/A00327700/2007,EPI467524,,
EPI_ISL_506166,A/swine/Indiana/A01812297/2019,EPI1791210,,
EPI_ISL_18921495,A/swine/Iowa/USDA-A02978734/2024,EPI3058414,United_States_Department_of_Agriculture,
EPI_ISL_506175,A/long-tailed_duck/Wisconsin/18OS3407/2018,EPI1791282,,
EPI_ISL_14989784,A/mallard/Netherlands/22014777-004/2022,EPI2178884,Wageningen_Bioveterinary_Research,Wageningen_Bioveterinary_Research
EPI_ISL_506170,A/long-tailed_duck/Wisconsin/18OS2993/2018,EPI1791240,,
EPI_ISL_16840766,A/swine/Pennsylvania/A02751232/2022,EPI2376730,,
EPI_ISL_16840769,A/swine/Pennsylvania/A02751233/2022,EPI2376736,,
EPI_ISL_16840770,A/swine/Iowa/A02751269/2022,EPI2376738,,
EPI_ISL_16840771,A/swine/Missouri/A02751263/2022,EPI2376740,,
EPI_ISL_506179,A/long-tailed_duck/Wisconsin/18OS3416/2018,EPI1791311,,
EPI_ISL_16840773,A/swine/Iowa/A02751258/2022,EPI2376744,,
EPI_ISL_16840776,A/swine/Iowa/A02751238/2022,EPI2376750,,
